Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
admin
VPN
DNS
css
dgrogan
json
grep
Ian
ikilpatrick
inline
rebase
Stephen Chenney
schenney
El Cerrito, else redo
plex
